,ratings,reviews,label,label_t
0,5,사용시간이 상당히 길어진 느낌입니다이어폰 본체와 충전케이스 모두 배터리 용량이 증가해서 체감으로는 많이 증가한 느낌이네요갤럭시폰노트10와 버즈의 조합이다보니삼성 워어러블 어플로 부가 기능을 쓸수 있어 편한 점이 많네요이전 버전의 가장 단점인 통화음질인데플러스버전에서는 많이 겨선되었는지착용하며 통화할때 상대방이 크게 불편해하지 않네요지금보다 좀 더 으로 사전구매해서한달 좀 넘게 사용중인데 저가형 무선이어폰을 안 사고버즈를 사길 참 잘했다는 생각입니다단점이라면 착용할때 터치패드를 터치하게되는데그게 싫어서 터치패드를 잠그면사용중 터치 기능을 못쓰고 다시 터치기능을 사용하려면다시 웨어러블 어플로 들어가야하네요터치패드 길게 누를때의 기능이빅스비 주변소리듣기 음량조절 메론밖에 없는데터치패드 잠김도 추가되면사용자별로 본인에게 맞는걸 선택할수 있게하면 좋겠다는 생각입니다,1,
1,5,배송이 진짜 빠르고 상품도 안전하게 잘 왔어요 주변 소리도 인지가 가능하고 차가 오는것도 캐치가 잘 되더라구요 지하철 타면서 역 놓치는것도 없이요에어팟은 전부터 사고 싶었지만 너무 비싸기도해서 손가락만 빨았는데 마침 세일도 해서 바로 질렀는데 가격값을 하더군요무엇보다도 귓구멍에 맞게끔 사이즈별로 예비 고무막도 줘서 좋았습니다 게다가 노래소리도 엄청 선명하고 깔끔해서 좋았습니다혹여 과방전은 아닐까 했는데 그런것도 없고 설치하라는 다운받아야하는 앱도 앞글자만 적어도 바로 나오더라구요 그뒤엔 다운만 받으면 알아서 잘 해줘서 상당히 편했습니다꼭 갖고 싶었는데 정품을 이 가격에 살 줄은 상상도 못했는데 덕분에 좋은 혜자템 얻었습니다 좋은 물건 팔아주셔서 정말 감사하구요앞으로도 번창하세요~~~~~~~,1,
2,5, 내돈내산 내 인생 첫번째 블루투스 이어폰 취준생기간이 길어서 블루투스 이어폰은 꿈에도 못꿨습니다친누나가 선물이랍시고 본인이 쓰던 고장난 에어팟을 줬지만제 핸드폰은 갤럭시고 이미 고장난 에어팟이었기에 쓸모가 없었어요유선이어폰을 끼고 자전거를 타다가 바퀴에 말려들어가핸드폰이 날라가고 사고가 날뻔한 적도 BMW를 박을 뻔 한적도있었네요 처지가 비참해서 길에서 펑펑 울었습니다쓸데 없는 얘기가 길었네요그래서 더 뜻깊게 구매한 이어폰입니다 배송도 잘왔고이제는 인이어이어폰블루투스 이어폰을 다 갖게되었네요삼성핸드폰과의 호환도 너무 잘되고 좋네요코덱을 AAC로 변경해서 쓰고있구요 제조년월도 202011 입니다저는 과방전되어 페어링이 한쪽이 안되는 상황도 없었구요둘 다 다만 기계인데 비해 에어캡포장이 빈약하기는 했구요좀 찝찝했던게 니트릴 장갑같은거를 안쓰시는 듯합니다케이스 홀로그램 부분에 지문이 진하게 찍혀있었습니다,1,
3,4,아빠 생신 선물로 샀어요 블루투스 이어폰 필요하다면서 제거 버즈 탐내길래 플러스로 새거 하나 샀는데 블루색상 너무 예쁘네요 아빠가 제주도에 있어 2주 후에나 테더링 확인할 수 있을 것 같아요 일단 사진을 보내줬는데 만족하고계세요,1,
4,5,배송도 빠르고 제조연월도 20년 8월이더라구요처음에 열었을 때 탭에 바로 연결됐는데 폰에 다시 연결하려니까 안 되더라고요 그래서 불량인가 했는데터치패드 꾹 누르니까 블루투스에 버즈가 떠서 연결 잘 했습니다다행히 제 거는 방전은 안 됐고 양쪽 다 60퍼 정도였습니다 근데 자력이 원래 좀 약한 건지 뺐다가 케이스에 다시 꽂을 때 챡 달라붙진 않았어요 그치만 사용하는데 불편하진 않을 것 같아서 별은 안 뺐습니다감사합니다 ,1,
5,5,유선블투 이어폰이 문득 불편해질 때즈음 지인이 쓰는거보고 한번 테스트후 고민끝에 질렀습니다 원래는 닥터드레 사려고 했는데 귀에 거는 타입이라 마스크 끈에 걸려 불편할것 같아서고민은 배송만 늦출뿐배송은 어찌나 빠르던지 네이버알림에는 아직도 배송중인데 전 이미 받았네요 귓구녕에 끼는게 익숙하지 않지만 계속 쓰다보면 잘 맞는 위치를 찾을 수 있겠죠 이어폰은 늘 검은색쓰다가 하얀색으로 사봤는데 이쁘네요 왜 고민했을까요 고민은 배송만 늦출뿐케이스 뚜껑 열자마자 바로 연결되고 너무좋아요 이번달 제조제품을 받아 기쁩니다 돈값하네요 생각해보면 거의 블투스피커와 맞먹는 가격이지만산책할때 마스크쓸때패딩모자 쓸 때 등등 더이상 줄걸림에 연연하지 않아도 된다는 것이 제일 좋아요 소음차단도 기존에 쓰던것보다 좋은것 같아요 오디오테크니카 것도 괜찮았는데 바깥소리는 버즈가 착용했을 때 덜 들렸어요 노이즈캔슬링 기능있는 걸 살까했는데 가격이 좀 더 내려가면 사는걸로4년전 akg 노캔헤드폰 썼을 때 노캔기능 많이 써먹었거든요 이젠 삼성과 Akg라니ㅠㅠ잘쓸게요,1,
6,1,물건 받자마자 설레임으로 언박싱하며 영롱함에 감탄사를오~~~그리고 바로 페어링 시도두쪽 모두 먹통설명서 인터넷 보고 해결시도 실패결국 같은거 쓰고있는 큰아들버즈라이브 쓰고있는 작아들 모두모여 도전~~~그러나결코 폰은 버즈플러스를 받아들이지 못함요ㅠㅠ다음날 구매처 전화했더니 불량일 가능성이 있으니 센터가서 불량 확인되면 바로 교환해 줄꺼라고헐물건만 팔고 문제는 직접해결해라상담시반품하고 다시 보내면 시간이 걸릴수 있으니 바로 센터가는게 빠를수 있다는 말 한마디만 들었어도기분이 그리 나쁘진 않았을 텐데요결론은 크레들 펌웨어 업데이트 작업을 해야한다고해서 30분정도 기다린 후 조치받고 왔지만암튼 이런 구매는 첨이네요,0,
7,5,좋은 물품 잘 받았습니다 판매자님 사정으로 발송이 하루 늦게 보내주셨지만 판매자님이 직접 연락주시고 설명해주셔서 충분히 납득 가능하였습니다 다시 한번 미리 알려주셔서 감사합니다포장은 사진에서 보이듯 꼼꼼히 잘 포장 되어왔습니다이어폰은 사진에서 보는 그대로 입니다 연결도 잘되고 음질도 좋습니다 제가 받은 물품 제조월은 21년 1월 이였습니다여기 판매자님 추천합니다 좋은 물품 감사합니다~ ,1,
8,5,기대이상입니다 너무 좋습니다 배송 드립 치는 사람은 배송사에 따져야지 왜 업체에다 따지는 지 모르겠습니다 머리에 든게 없어서 그런 댓글 다는지도 너무 우습네요 참나 아무튼 굉장히 만족합니다 이어폰 끼면서도 너무 편했고 그전에 저가형 이어폰 쓰다가 넘어오니 대화할때 뺄필요도 없는 점이 가장 마음에 듭니다 제 목소리가 들리는 것도 참 신기했고요 통화품질 또한 뛰어난 점이 좋습니다 이어폰을 사용하니 평소에 쓸 필요도 없던 빅스비도 쓰게되네요 아주 좋습니다단점은 딱히 모르겠습니다 귀가 저에겐 아프지도 않고 음질 드립도 저에겐 딱히 필요없습니다 일하면서 쓸 생각이라서요 배터리도 오래가는 것 같습니다 노이즈 캔슬링 없다고 아쉬워하는 사람들 많은데 그 기능 생각보다 불편합니다 위험하기도 하고요 그리고 딱히 필요성을 못느끼겠네요 주변 소음 듣기 모드 생각보다 신세계입니다 제가 다른 이어폰을 안써보긴 했지만 마르고 닳도록 이용할 계획입니다 감사합니다,1,
9,5,어제 도착해서 바로 페어링하고 음악들었는데 작동 잘되서 좋네요 원래 에어팟쓰다가 점점 배터리가 30분정도 밖에 안가서 밖에서만 쓰려고 저렴한 펜톤으로 바꿨었는데 몇달쓰다가 바닥에 떨궜더니 쪼개져서 가격도 적당하고 품질도 괜찮아 보이는 버즈 플러스로 구매하였습니다 우선 저는 배터리 하나만 보고 고른건데 그부분은 당연 마음에 들고 착용감도 괜찮네요 착용감 만족도는 에어팟버즈펜톤순입니다 에어팟은 아예 착용안한 느낌 버즈는 오래껴도 불편함은 없음 펜톤은 오래끼면 좀 아픔 그리고 음질은 적당하니 이만하면 좋다고 말할 수준이고 펜톤은 음악정지버튼이 너무커서 손이 스치기만 해도 꺼지는데 버즈는 버튼부분은 상대적으로 작어서 컨트롤이 잘 됩니다 사실 사무실에서 몰래끼고 있으려고 블랙을 고르려고 했으나 화이트의 오로라화이트로 결정했는데 ,1,
