,Unnamed: 0,ratings,reviews,label,label_t
2,2,5, 내돈내산 내 인생 첫번째 블루투스 이어폰 취준생기간이 길어서 블루투스 이어폰은 꿈에도 못꿨습니다친누나가 선물이랍시고 본인이 쓰던 고장난 에어팟을 줬지만제 핸드폰은 갤럭시고 이미 고장난 에어팟이었기에 쓸모가 없었어요유선이어폰을 끼고 자전거를 타다가 바퀴에 말려들어가핸드폰이 날라가고 사고가 날뻔한 적도 BMW를 박을 뻔 한적도있었네요 처지가 비참해서 길에서 펑펑 울었습니다쓸데 없는 얘기가 길었네요그래서 더 뜻깊게 구매한 이어폰입니다 배송도 잘왔고이제는 인이어이어폰블루투스 이어폰을 다 갖게되었네요삼성핸드폰과의 호환도 너무 잘되고 좋네요코덱을 AAC로 변경해서 쓰고있구요 제조년월도 202011 입니다저는 과방전되어 페어링이 한쪽이 안되는 상황도 없었구요둘 다 다만 기계인데 비해 에어캡포장이 빈약하기는 했구요좀 찝찝했던게 니트릴 장갑같은거를 안쓰시는 듯합니다케이스 홀로그램 부분에 지문이 진하게 찍혀있었습니다,1,0
5,5,5,유선블투 이어폰이 문득 불편해질 때즈음 지인이 쓰는거보고 한번 테스트후 고민끝에 질렀습니다 원래는 닥터드레 사려고 했는데 귀에 거는 타입이라 마스크 끈에 걸려 불편할것 같아서고민은 배송만 늦출뿐배송은 어찌나 빠르던지 네이버알림에는 아직도 배송중인데 전 이미 받았네요 귓구녕에 끼는게 익숙하지 않지만 계속 쓰다보면 잘 맞는 위치를 찾을 수 있겠죠 이어폰은 늘 검은색쓰다가 하얀색으로 사봤는데 이쁘네요 왜 고민했을까요 고민은 배송만 늦출뿐케이스 뚜껑 열자마자 바로 연결되고 너무좋아요 이번달 제조제품을 받아 기쁩니다 돈값하네요 생각해보면 거의 블투스피커와 맞먹는 가격이지만산책할때 마스크쓸때패딩모자 쓸 때 등등 더이상 줄걸림에 연연하지 않아도 된다는 것이 제일 좋아요 소음차단도 기존에 쓰던것보다 좋은것 같아요 오디오테크니카 것도 괜찮았는데 바깥소리는 버즈가 착용했을 때 덜 들렸어요 노이즈캔슬링 기능있는 걸 살까했는데 가격이 좀 더 내려가면 사는걸로4년전 akg 노캔헤드폰 썼을 때 노캔기능 많이 써먹었거든요 이젠 삼성과 Akg라니ㅠㅠ잘쓸게요,1,0
10,10,5,제품은 잘 받았습니다참 많은 고민을 하고 결정했습니다선이 없으니 잘 잊어먹을거 같다는 생각에 저렴한걸 찾아보니 3만원대 가성비 좋다는 제품도 있었는데 혹시나 하는 마음에 장기적으로 보고 사자 하는 마음에 결정을 했고 쓰는 폰이 갤럭시10여서 버즈로 결정을 한것도 있습니다몇일 사용을 해보니 제 기준에서 불편한 점은첫째 오른쪽 왼쪽 표시가 좀더 잘 보였으면 좋겠다는 생각을 했습니다 RL 표시가 색이 있다거나 둘째는 마스크를 쓰고 벗다가 조금만 스쳐도 외부소리는 켜봤는데 저에게는 넘 이질감이 있어서 없는 기능이다 생각하고 쓰려구요 그리고 통화를 많이 하는 편은 아니지만 수신음은 잘 들리구요 송신음은 불편하거나 잘 안들린다는 말은 아직 안들어 봤네요유선이어폰을 쓰다 첨 쓰면 당연 편리함은 이루 말할수가 없죠잔고장 없이 오래 잘 썼으면 하는 마음 입니다,1,0
11,11,5,블루투스 커널형 이어폰중에는 가장 좋지 않나 싶어요아무래도 이어폰을 청소해줘야된다거나 오래 착용하고있으면 귀가 약간 아프다거나 하는 커널형만의 단점이 있지만 이런 어쩔수 없는 점들을 제외하면 딱히 불편한점은 없었습니다전에 사용한 갤럭시버즈와 비교하자면 배터리도 더 오래가구요 음질도 나아졌어요 음질은 관련 전공가가 아니라 자세하게 이야기는 힘들겠지만 소리가 조금 더 선명해지고 들을 수 있는 범위가 넓어진 느낌입니다 클래식이나 큰 편성의 곡을 좋아하는데 전작 대비 뭉개지는 소리가 적어진 느낌이 있어요~ 해상도가 좋아졌다고 해야될까요 전작과 소리 색깔이 바뀐 느낌도 있어요 저는 플러스 쪽이 조금 더  아무래도 생각합니다아무튼 잘 사용하고있구요 비슷한시기 갤럭시 라이브가 나와서 약간 후회할뻔했는데 아무래도 여기저기 대중교통으로 돌아다니거나 운동할때 착용하는 제 루틴으로 봤을때는 커널형이 맞는 것 같아서요 사용중입니다~구매 고민하시는분들께 조금이나마 도움이 됐으면 좋겠네요?,1,0
12,12,5,갤럭시 버즈 라이브를 구매했지만 도저히 아니다 싶어서중고로 판매하고 결국에는 버즈 플러스를 새로 구매했습니다3월 생산품이고 왼쪽이 과방전 상태였으나 검색해서 금방 해결했습니다과방전은 갤럭시 버즈의 고질적인 패시브 스킬기존에 갤럭시 버즈를 1년5개월 정도 사용했었고개인적으로는 체감한 음질향상이 30정도 되는것 같습니다케이스와 철가루방지스티커 까지 장착해서 아이언맨으로 깔맞춤 했습니다,1,0
13,13,4,블루 하려다 핑크 했는데 나쁘지 않습니다 하지만 다시 산다면 블루를 살거같아요 그리고 저도 초기불량 걸렸네요 한쪽이 인식이 안됩니다 다음주에 섭센 가서 교체받으려구요ㅠㅠ 스샷은 업로드 안되는거 처음알았네요 웨어러블 어플에서 인식 안되는 애는 그냥 회색으로 뜨고 소프트웨어 업데이트가 안되네요 둘다 연결되어야 한대요씰링 스티커도 잘 붙어있고 케이블도 잘 감겨있어서 정품이 맞구나 하고 감동받고 있습니다 케이스 오기 전까지는 사은품으로 온 투명케이스 잘 쓰겠습니다 추가 섭센 다녀왔는데 버즈 케이스에 이어버드가 완전 방전되었을때 충전하는 모듈이 없어서 그렇다고 합니다 설치받고 잘 쓰고 있습니다,1,0
14,14,5,처음 받았을 때 상자 모퉁이가 찌그러져있어서 놀랐어요다행히 내용물은 이상이 없습니다구성품  케이스이어폰 폼팁충전선하루 사용후기   주변소리 듣기 기능  사기 전에 주변소리 듣기 기능을 사용하면 바람소리가 심하다는 후기들이 많아서 걱정했습니다근데 비닐 부스럭거리는 소리가 원래 소리보다 크게 들리는 정도 였습니다 거슬릴 정도는 아니었어요 통화기능  집오는 길에 버스에서 통화를 해봤는데 상대방이 아무런 문제를 느끼지 못했습니다,1,0
15,15,5,9월 8일 주문했는데 10일에 도착했네요대체적으로 배송은 빠른것 같아요그리고 후기에 이어폰 배터리 방전 이야기가 많던데 제가 받은 물건은 사장님이 일부러 가득 충전해서 보냈는지 받으니까 배터리가 양쪽다 60프로 이상 남아있었어요 세심하게 신경쓰신게 느껴지네요실물은 사진으로 보이는 것보다 더 예뻐요 ,1,0
18,18,5,주변 사람들이 왜 갤럭시버즈플러스를 추천하는지이제야 알겠네요이렇게 좋은건지 알았으면 더 미리구매하는건데ㅎㅎ지금이라도 사용하게 되어서너무 만족하고 앞으로 잘 쓰겠습니다구매장점1신속한 배송실제로 24시간도 안걸림2안전한 포장상태3다양한 기능과 음질4부가 구성품더 많은 장점이 있으니 직접 써 보시길 추천드립니다또한 상품에 대한 자세한 설명은 사진에 첨부하여올렸으니 구매 고민하시는 분들은 참고하여 구매하시길 바랍니다 감사합니다~,1,0
19,19,3,배송은 주문 다음 날 받았구요 9월 제조 제품입니다비싼 이어폰 쓰기전에 무선이어폰을 사용하는 게 어떤지 분실 위험은 잦은지 등등 경험해 보려고 2만원대의 qcy제품 사용 시작한 게 벌써 일 년이 됐네요 버즈를 살까 더 질러서 에어팟을 살까 고민만 하던 중 버즈 라이브가 나오면서 디자인에 반해 좀만 더 고민해 보고 사자했던게 11월이나 돼서 구매하게 됐네요진짜 일년 내내 고민만 함우선 노캔은 전혀 느끼질 못 하겠어요 머리 말리느라고 약하게 켜놓은 선풍기 소리도 못 막아주는데 오늘 출근하는데 버스소리를 잡아줬겠어요 볼륨을 최대치로 하고 들어야 음악이 들리더라구요 얘기가 왤케 주저리 주저리냐 저 2만원짜리 저렴이 qcy 이어폰보다 잘 안 들린다구요ㅠ 커널형만 쓰다 갑자기 오픈형 써서 그런지 영 만족스럽지가 못 하네요 조용한데서 들어도 오픈형은 커널형을 따라오질 못 하는 거 같네요그리고 착용이 애매하다 보니 중간에 자리 다시 잡으려고 건들면 음악 꺼지거나 담 노래로 넘어가거나 난리내요 이건 익숙해지면 괜찮겠지만  이게 다에요 이럴 줄 알았음 걍 버즈 플러스 살 걸 쫌 후회하는 중이에요,1,0
